Ix|Type|A|B
 0| 0|-1253|108
 1| 0|6296|106
 2| 2|-2652|103
 3| 0|229|111
 4| 0|-3401|95
 5| 2|-3788|106
 6| 0|1978|105
 7| 0|4357|108
 8| 0|-515|97
 9| 0|-3391|104
10| 2|2086|107
11| 0|4534|103
12| 0|220|101
13| 0|-4599|107
14| 2|-3165|106
15| 0|1808|100
16| 0|40|109
17| 0|-4347|108
18| 2|-3855|107
19| 0|735|93
20| 0|1479|106
21| 2|-2397|102
22| 0|-2918|102
23| 2|327|104
24| 0|1513|101
25| 2|-1082|106
26| 0|-2146|102
27| 2|1701|105
28| 2|3221|101
29| 0|849|109
30| 0|-670|105
31| 2|1326|108
32| 2|3558|104
33| 2|874|104
34| 0|-2101|105
35| 2|-675|109
36| 2|2176|105
37| 2|1196|105
38| 0|-2226|106
39| 2|-2137|101
40| 2|298|99
41| 2|465|108
42| 2|-2433|108
43| 2|-3361|109
44| 0|-843|104
45| 0|96|109
46| 2|-1446|96
47| 2|-2203|100
48| 2|-330|107
49| 2|1108|92
50| 2|-248|109
51| 2|-1503|107
52| 2|22|109
53| 2|1760|103
54| 2|753|102
55| 0|-636|104
56| 2|443|103
57| 2|2223|105
58| 2|1609|106
59| 0|-686|105
60| 0|-836|105
61| 2|857|103
62| 2|721|113
63| 2|-1215|95
64| 2|-1854|102
65| 2|-407|107
66| 2|255|107
67| 2|-1099|105
68| 2|-2121|103
69| 2|-1177|112
70| 2|-186|110
71| 2|-1101|107
72| 2|-1868|102
73| 2|-917|110
74| 2|384|111
75| 2|107|104
76| 2|-807|113
77| 2|-155|107
78| 2|1101|109
79| 2|855|102
80| 2|-341|110
81| 2|-196|99
82| 2|1035|105
83| 2|1170|111
84| 2|25|108
85| 2|-506|111
86| 2|353|108
87| 2|667|103
88| 2|-507|108
89| 2|-1351|106
90| 2|-809|98
91| 2|-193|105
92| 2|-764|103
93| 2|-1546|107
94| 2|-1111|111
95| 2|-337|105
96| 2|-613|111
97| 2|-1346|104
98| 2|-1023|106
99| 2|-156|106
100| 2|-79|102
101| 2|-608|108
102| 2|-418|107
103| 2|519|106
104| 2|762|101
105| 2|70|101
106| 2|-174|105
107| 2|436|107
108| 2|748|104
109| 2|122|104
110| 2|-407|107
111| 2|-23|102
112| 2|387|106
113| 2|-101|106
114| 2|-800|106
115| 2|-710|110
116| 2|-332|102
117| 2|-598|105
118| 2|-1168|110
119| 2|-1118|97
120| 2|-565|105
121| 2|-495|109
122| 2|-928|99
123| 2|-919|106
124| 2|-328|109
125| 2|-114|100
126| 2|-425|103
127| 2|-521|105
128| 2|6|100
129| 2|386|109
130| 2|134|102
131| 2|-120|101
132| 2|171|106
133| 2|491|108
134| 2|217|108
135| 2|-240|104
136| 2|-218|108
137| 2|83|104
138| 2|-129|115
139| 2|-564|101
140| 2|-627|106
141| 2|-328|105
142| 2|-413|107
143| 2|-813|106
144| 2|-949|104
145| 2|-656|104
146| 2|-519|94
147| 2|-774|107
148| 2|-897|105
149| 2|-379|102
150| 2|-152|96
151| 2|-226|109
152| 2|-473|108
153| 2|-200|106
154| 2|147|101
155| 2|75|118
156| 2|-172|104
157| 2|-83|104
158| 2|263|102
159| 2|193|104
160| 2|-131|117
161| 2|-234|102
162| 2|-63|105
163| 2|-76|113
164| 2|-412|104
165| 2|-592|106
166| 2|-439|107
167| 2|-375|105
168| 2|-583|107
169| 2|-774|94
170| 2|-695|106
171| 2|-415|108
172| 2|-580|109
173| 2|-683|102
174| 2|-572|99
175| 2|-292|97
176| 2|-260|104
177| 2|-348|102
178| 2|-283|105
179| 2|-44|101
180| 2|35|100
181| 2|-116|112
182| 2|-172|101
183| 2|-13|109
184| 2|65|108
185| 2|-91|104
186| 2|-211|104
187| 2|-165|105
188| 2|-108|109
189| 2|-275|108
190| 2|-451|108
191| 2|-499|105
192| 2|-529|108
193| 2|-443|106
194| 2|-611|99
195| 2|-498|104
196| 2|-519|108
197| 2|-484|104
198| 2|-562|103
199| 2|-491|111
200| 2|-359|107
201| 2|-360|111
202| 2|-360|101
203| 2|-307|102
204| 2|-167|100
205| 2|-137|111
206| 2|-154|103
207| 2|-168|109
208| 2|-87|106
209| 2|-67|104
210| 2|-139|103
211| 2|-223|96
212| 2|-190|101
213| 2|-187|106
214| 2|-272|104
215| 2|-366|112
216| 2|-403|109
217| 2|-398|109
218| 2|-445|110
219| 2|-516|104
220| 2|-539|100
221| 2|-688|107
222| 2|-736|106
223| 2|-576|109
224| 2|-227|105
225| 2|-28|104
226| 2|-345|104
227| 2|-443|107
228| 2|-362|104
229| 2|-111|107
230| 2|-138|107
231| 2|-339|107
232| 2|-262|108
233| 2|-56|114
234| 2|-45|101
235| 2|-528|101
236| 2|-512|107
237| 2|-208|105
238| 2|-32|110
239| 2|-256|107
240| 2|-504|102
241| 2|-372|113
242| 2|-171|107
243| 2|-297|109
244| 2|-575|113
245| 2|-541|107
246| 2|-312|102
247| 2|-340|110
248| 2|-548|102
249| 2|-530|115
250| 2|-344|100
251| 2|-252|106
252| 2|-315|97
253| 2|-382|111
254| 2|-366|104
255| 2|-222|103
256| 2|-255|104
257| 2|-152|97
258| 2|-279|101
259| 2|-191|102
260| 2|-315|105
261| 2|-232|101
262| 2|-174|109
263| 2|-222|96
264| 2|-336|111
265| 2|-326|102
266| 2|-174|99
267| 2|-326|106
268| 2|-437|110
269| 2|-420|106
270| 2|-435|101
271| 2|-382|98
272| 2|-507|101
273| 2|-518|108
274| 2|-393|98
275| 2|-338|100
276| 2|-406|107
277| 2|-453|100
278| 2|-333|101
279| 2|-252|103
280| 2|-284|106
281| 2|-324|107
282| 2|-289|110
283| 2|-194|113
284| 2|-223|104
285| 2|-290|113
286| 2|-259|106
287| 2|-214|115
288| 2|-224|102
289| 2|-322|103
290| 2|-324|102
291| 2|-275|102
292| 2|-295|100
293| 2|-370|117
294| 2|-442|108
295| 2|-373|113
296| 2|-373|103
297| 2|-435|102
298| 2|-466|109
299| 2|-530|98
300| 2|-399|98
301| 2|-412|103
302| 2|-366|98
303| 2|-324|107
304| 2|-411|111
305| 2|-259|109
306| 2|-277|109
307| 2|-185|98
308| 2|-275|115
309| 2|-336|100
310| 2|-456|107
311| 2|-143|105
312| 2|-202|100
313| 2|-244|110
314| 2|-400|113
315| 2|-315|109
316| 2|-286|96
317| 2|-298|99
318| 2|-438|109
319| 2|-461|100
320| 2|-325|105
321| 2|-550|100
322| 2|-542|106
323| 2|-541|106
324| 2|-327|103
325| 2|-319|101
326| 2|-384|101
327| 2|-452|106
328| 2|-265|110
329| 2|-258|103
330| 2|-343|110
331| 2|-434|109
332| 2|-254|109
333| 2|-199|108
334| 2|-127|100
335| 2|-274|100
336| 2|-227|107
337| 2|-221|108
338| 2|-308|110
339| 2|-458|103
340| 2|-340|109
341| 2|-270|115
342| 2|-364|98
343| 2|-739|106
344| 2|-482|105
345| 2|-403|106
346| 2|-220|109
347| 2|-465|103
348| 2|-501|99
349| 2|-334|96
350| 2|-210|108
351| 2|-318|98
352| 2|-501|104
353| 2|-344|103
354| 2|-209|106
355| 2|-272|110
356| 2|-436|98
357| 2|-404|116
358| 2|-244|104
359| 2|-220|109
360| 2|-393|100
361| 2|-421|107
362| 2|-291|105
363| 2|-114|108
364| 2|-448|108
365| 2|-471|106
366| 2|-402|106
367| 2|-279|101
368| 2|-337|112
369| 2|-450|98
370| 2|-417|104
371| 2|-281|100
372| 2|-314|106
373| 2|-375|100
374| 2|-344|100
375| 2|-409|110
376| 2|-298|107
377| 2|-449|104
378| 2|-361|104
379| 2|-315|102
380| 2|-297|107
381| 2|-360|97
382| 2|-414|101
383| 2|-173|105
384| 2|-410|102
385| 2|-311|104
386| 2|-456|101
387| 2|-283|103
388| 2|-310|110
389| 2|-223|98
390| 2|-505|101
391| 2|-280|106
392| 2|-110|104
393| 2|-300|111
394| 2|-622|104
395| 2|-362|121
396| 2|-505|113
397| 2|-90|105
398| 2|-644|99
399| 2|-516|105
400| 2|-318|105
401| 2|95|106
402| 2|-250|106
403| 2|-842|99
404| 2|-502|103
405| 2|-302|100
406| 2|-40|109
407| 2|-515|104
408| 2|-552|116
409| 2|-284|98
410| 2|-74|106
411| 2|-384|96
412| 2|-590|102
413| 2|-189|113
414| 2|127|102
415| 2|-185|107
416| 2|-562|109
417| 2|-513|109
418| 2|-290|109
419| 2|-565|105
420| 2|-656|106
421| 2|-584|112
422| 2|-188|106
423| 2|-233|103
424| 2|-560|98
425| 2|-537|104
426| 2|-134|114
427| 2|-154|101
428| 2|-465|109
429| 2|-530|99
430| 2|-209|112
431| 2|-77|104
432| 2|-383|103
433| 2|-546|110
434| 2|-343|101
435| 2|-69|108
436| 2|-336|109
437| 2|-561|102
438| 2|-424|110
439| 2|-173|98
440| 2|-261|108
441| 2|-533|105
442| 2|-471|101
443| 2|-249|103
444| 2|-246|99
445| 2|-480|106
446| 2|-492|108
447| 2|-264|99
448| 2|-238|109
