Ix|Type|A|B
 0| 0|-4298|-5632
 1| 0|-1576|-3169
 2| 0|43|-1114
 3| 0|-633|-722
 4| 2|-844|-818
 5| 2|713|-356
 6| 2|1675|-124
 7| 2|585|-884
 8| 2|-85|-634
 9| 2|1152|796
10| 2|1266|753
11| 2|117|-842
12| 2|197|-1010
13| 2|673|-188
14| 2|110|-54
15| 2|-611|-37
16| 2|-472|271
17| 2|738|880
18| 2|256|638
19| 2|-189|381
20| 2|152|1363
21| 2|386|1722
22| 2|-226|1002
23| 0|-671|449
24| 2|355|801
25| 2|676|1271
26| 2|59|976
27| 2|-272|734
28| 2|236|1042
29| 2|981|777
30| 2|217|162
31| 2|45|26
32| 2|337|337
33| 2|112|-118
34| 2|-172|-684
35| 2|268|-721
36| 2|1079|-214
37| 2|698|-196
38| 2|-124|-534
39| 2|77|-383
40| 2|691|-98
41| 2|592|-273
42| 2|48|-345
43| 2|322|42
44| 2|557|402
45| 2|222|257
46| 2|236|185
47| 2|535|651
48| 2|630|897
49| 2|-119|767
50| 2|-391|633
51| 2|37|883
52| 2|139|912
53| 2|-180|548
54| 2|-200|507
55| 2|197|721
56| 2|68|632
57| 2|-310|299
58| 2|-194|205
59| 2|136|321
60| 2|28|23
61| 2|-298|-267
62| 2|40|-179
63| 2|472|14
64| 2|425|-176
65| 2|401|-421
66| 2|657|-256
67| 2|770|-56
68| 2|365|-168
69| 2|214|-185
70| 2|610|39
71| 2|810|197
72| 2|471|13
73| 2|233|23
74| 2|429|338
75| 2|391|453
76| 2|96|266
77| 2|56|259
78| 2|87|519
79| 2|-138|583
80| 2|-425|481
81| 2|-253|549
82| 2|87|664
83| 2|-33|486
84| 2|-284|268
85| 2|-206|370
86| 2|15|498
87| 2|-30|317
88| 2|-30|111
89| 2|222|165
90| 2|370|263
91| 2|286|156
92| 2|265|34
93| 2|560|59
94| 2|680|-21
95| 2|476|-221
96| 2|389|-213
97| 2|491|-33
98| 2|473|-10
99| 2|329|-124
100| 2|357|-119
101| 2|461|47
102| 2|292|109
103| 2|19|75
104| 2|17|128
105| 2|144|233
106| 2|30|197
107| 2|-133|168
108| 2|-92|380
109| 2|-38|554
110| 2|-95|499
111| 2|-90|414
112| 2|61|476
113| 2|116|520
114| 2|-37|444
115| 2|-55|372
116| 2|162|386
117| 2|295|324
118| 2|283|180
119| 2|371|313
120| 2|306|259
121| 2|341|209
122| 2|234|-62
123| 2|341|-96
124| 2|414|-93
125| 2|319|-114
126| 2|176|-174
127| 2|252|-126
128| 2|355|-90
129| 2|268|-127
130| 2|189|-94
131| 2|192|63
132| 2|161|149
133| 2|71|121
134| 2|64|121
135| 2|161|223
136| 2|182|326
137| 2|28|330
138| 2|19|388
139| 2|103|481
140| 2|114|455
141| 2|44|398
142| 2|50|397
143| 2|104|440
144| 2|66|395
145| 2|37|265
146| 2|122|215
147| 2|234|213
148| 2|173|141
149| 2|78|55
150| 2|143|51
151| 2|209|33
152| 2|207|-61
153| 2|212|-107
154| 2|272|-73
155| 2|284|-48
156| 2|232|-86
157| 2|241|-89
158| 2|324|-18
159| 2|316|35
160| 2|215|45
161| 2|173|106
162| 2|208|182
163| 2|207|220
164| 2|173|214
165| 2|160|254
166| 2|146|326
167| 2|88|337
168| 2|19|321
169| 2|52|331
170| 2|80|353
171| 2|30|323
172| 2|-16|290
173| 2|3|287
174| 2|64|273
175| 2|64|201
176| 2|75|138
177| 2|134|131
178| 2|153|130
179| 2|125|65
180| 2|162|38
181| 2|241|42
182| 2|282|17
183| 2|270|-10
184| 2|280|0
185| 2|302|23
186| 2|291|15
187| 2|269|1
188| 2|281|33
189| 2|278|81
190| 2|215|101
191| 2|158|121
192| 2|163|166
193| 2|174|187
194| 2|128|197
195| 2|66|204
196| 2|57|247
197| 2|46|272
198| 2|23|252
199| 2|23|253
200| 2|57|264
201| 2|61|279
202| 2|28|257
203| 2|49|244
204| 2|115|231
205| 2|136|196
206| 2|138|155
207| 2|158|139
208| 2|194|130
209| 2|223|116
210| 2|228|65
211| 2|253|59
212| 2|285|45
213| 2|248|40
214| 2|225|14
215| 2|241|34
216| 2|247|35
217| 2|228|15
218| 2|195|32
219| 2|188|75
220| 2|171|105
221| 2|128|106
222| 2|113|130
223| 2|121|161
224| 2|107|197
225| 2|70|205
226| 2|55|231
227| 2|87|247
228| 2|92|257
229| 2|83|243
230| 2|90|257
231| 2|109|264
232| 2|106|255
233| 2|109|218
234| 2|141|199
235| 2|167|185
236| 2|165|157
237| 2|152|115
238| 2|179|110
239| 2|201|74
240| 2|208|60
241| 2|191|36
242| 2|197|27
243| 2|192|36
244| 2|186|30
245| 2|186|21
246| 2|199|38
247| 2|186|59
248| 2|161|62
249| 2|154|92
250| 2|160|124
251| 2|149|144
252| 2|140|153
253| 2|128|181
254| 2|120|213
255| 2|115|216
256| 2|108|229
257| 2|113|235
258| 2|125|235
259| 2|98|228
260| 2|99|229
261| 2|100|213
262| 2|113|199
263| 2|121|181
264| 2|122|151
265| 2|134|138
266| 2|142|128
267| 2|150|119
268| 2|149|73
269| 2|175|71
270| 2|185|49
271| 2|176|48
272| 2|185|42
273| 2|192|52
274| 2|197|55
275| 2|199|65
276| 2|188|79
277| 2|187|81
278| 2|185|112
279| 2|162|114
280| 2|156|126
281| 2|153|154
282| 2|136|161
283| 2|123|175
284| 2|113|178
285| 2|111|196
286| 2|96|191
287| 2|87|184
288| 2|95|185
289| 2|97|191
290| 2|88|182
291| 2|96|167
292| 2|108|161
293| 2|120|156
294| 2|116|131
295| 2|127|120
296| 2|142|120
297| 2|165|115
298| 2|161|77
299| 2|173|74
300| 2|186|77
301| 2|190|77
302| 2|182|64
303| 2|187|77
304| 2|192|81
305| 2|186|79
306| 2|177|85
307| 2|169|97
308| 2|160|103
309| 2|149|108
310| 2|142|120
311| 2|138|138
312| 2|120|158
313| 2|102|151
314| 2|100|167
315| 2|100|171
316| 2|98|176
317| 2|99|175
318| 2|95|172
319| 2|100|177
320| 2|109|165
321| 2|124|171
322| 2|125|143
323| 2|140|146
324| 2|144|141
325| 2|148|116
326| 2|164|115
327| 2|160|108
328| 2|172|91
329| 2|175|90
330| 2|174|83
331| 2|169|81
332| 2|176|81
333| 2|167|78
334| 2|173|79
335| 2|166|85
336| 2|157|94
337| 2|149|104
338| 2|150|108
339| 2|136|117
340| 2|132|123
341| 2|132|144
342| 2|121|158
343| 2|121|160
344| 2|120|170
345| 2|120|173
346| 2|123|178
347| 2|122|170
348| 2|117|167
349| 2|117|174
350| 2|126|159
351| 2|141|157
352| 2|132|136
353| 2|147|140
354| 2|140|130
355| 2|152|112
356| 2|146|110
357| 2|161|107
358| 2|152|82
359| 2|154|87
360| 2|157|78
361| 2|167|90
362| 2|170|86
363| 2|168|89
364| 2|158|92
365| 2|154|93
366| 2|152|106
367| 2|154|101
368| 2|150|116
369| 2|145|122
370| 2|140|135
371| 2|135|142
372| 2|132|146
373| 2|127|152
374| 2|124|155
375| 2|116|160
376| 2|120|163
377| 2|115|152
378| 2|119|139
379| 2|121|157
380| 2|126|147
381| 2|136|138
382| 2|134|130
383| 2|127|122
384| 2|145|119
385| 2|140|102
386| 2|146|98
387| 2|147|91
388| 2|155|91
389| 2|151|86
390| 2|155|88
391| 2|160|99
392| 2|156|87
393| 2|149|84
394| 2|161|103
395| 2|158|105
396| 2|158|111
397| 2|147|103
398| 2|148|123
399| 2|140|129
400| 2|142|132
401| 2|125|143
402| 2|126|133
403| 2|132|142
404| 2|129|152
405| 2|130|147
406| 2|117|137
407| 2|114|135
408| 2|121|139
409| 2|129|138
410| 2|122|124
411| 2|135|136
412| 2|138|124
413| 2|142|121
414| 2|143|115
415| 2|151|112
416| 2|150|115
417| 2|156|102
418| 2|164|105
419| 2|148|102
420| 2|148|92
421| 2|159|130
422| 2|177|96
423| 2|152|120
424| 2|152|102
425| 2|143|119
426| 2|147|116
427| 2|154|148
428| 2|173|159
429| 2|187|194
430| 2|186|232
431| 2|139|170
432| 2|117|119
433| 2|126|137
434| 2|120|130
435| 2|103|132
436| 2|106|139
437| 2|120|141
438| 2|126|126
439| 2|122|121
440| 2|129|131
441| 2|135|131
442| 2|137|131
443| 2|142|125
444| 2|150|109
445| 2|152|112
446| 2|166|111
447| 2|143|90
448| 2|144|90
449| 2|162|90
450| 2|161|104
451| 2|142|95
452| 2|154|93
453| 2|152|108
454| 2|152|111
455| 2|142|110
456| 2|143|116
457| 2|151|121
458| 2|132|121
459| 2|141|125
460| 2|140|136
461| 2|137|139
462| 2|131|140
463| 2|142|143
464| 2|138|155
465| 2|131|148
466| 2|131|146
467| 2|134|142
468| 2|140|154
469| 2|138|135
470| 2|136|127
471| 2|142|129
472| 2|144|124
473| 2|144|110
474| 2|145|108
475| 2|143|116
476| 2|146|108
477| 2|150|103
478| 2|154|107
479| 2|161|112
480| 2|163|99
481| 2|170|127
482| 2|150|105
483| 2|164|113
484| 2|156|121
485| 2|148|120
486| 2|148|125
487| 2|138|119
488| 2|141|119
489| 2|140|131
490| 2|141|137
491| 2|121|131
492| 2|133|142
493| 2|126|137
494| 2|125|130
495| 2|130|134
496| 2|118|127
497| 2|134|131
498| 2|151|140
499| 2|129|127
500| 2|136|125
501| 2|134|116
502| 2|141|117
503| 2|138|123
504| 2|145|96
505| 2|150|106
506| 2|143|102
507| 2|148|104
508| 2|141|100
509| 2|151|97
510| 2|153|106
511| 2|142|102
512| 2|148|99
513| 2|151|108
514| 2|144|102
515| 2|142|116
516| 2|140|122
517| 2|135|120
518| 2|136|122
519| 2|137|124
520| 2|120|126
521| 2|133|127
522| 2|127|129
523| 2|124|128
524| 2|131|139
525| 2|161|168
526| 2|154|162
527| 2|148|144
528| 2|134|120
529| 2|128|111
530| 2|110|96
531| 2|133|109
532| 2|127|98
533| 2|140|105
534| 2|145|110
535| 2|135|92
536| 2|145|107
537| 2|137|88
538| 2|158|117
539| 2|145|102
540| 2|145|107
541| 2|137|99
542| 2|136|88
543| 2|137|92
544| 2|140|108
545| 2|136|104
546| 2|125|105
547| 2|129|114
548| 2|135|107
549| 2|135|116
550| 2|129|112
551| 2|132|132
552| 2|136|127
553| 2|130|120
554| 2|127|116
555| 2|135|126
556| 2|137|120
557| 2|141|120
558| 2|126|127
559| 2|125|123
560| 2|140|109
561| 2|132|108
562| 2|142|116
563| 2|147|111
564| 2|127|102
565| 2|128|84
566| 2|145|105
567| 2|145|104
568| 2|161|126
569| 2|146|116
570| 2|142|106
571| 2|154|110
572| 2|139|104
573| 2|142|117
574| 2|142|125
575| 2|148|133
576| 2|129|123
577| 2|143|128
578| 2|156|134
579| 2|151|133
580| 2|132|132
581| 2|132|133
582| 2|143|149
583| 2|141|135
584| 2|140|130
585| 2|140|123
586| 2|137|141
587| 2|145|139
588| 2|126|128
589| 2|138|127
590| 2|148|125
591| 2|143|115
592| 2|134|113
593| 2|137|120
594| 2|142|115
595| 2|141|99
596| 2|147|113
597| 2|149|107
598| 2|143|106
599| 2|138|119
600| 2|141|108
601| 2|152|121
602| 2|145|113
603| 2|137|116
604| 2|142|121
605| 2|149|128
606| 2|144|121
607| 2|138|118
608| 2|132|116
609| 2|149|130
610| 2|139|121
611| 2|131|126
612| 2|147|134
613| 2|144|140
614| 2|130|125
615| 2|129|131
616| 2|135|129
617| 2|142|121
618| 2|149|126
619| 2|140|112
620| 2|146|130
621| 2|146|118
622| 2|146|126
623| 2|139|117
624| 2|155|126
625| 2|148|116
626| 2|139|114
627| 2|146|118
628| 2|146|115
629| 2|158|116
630| 2|146|122
631| 2|142|116
632| 2|143|116
633| 2|145|115
634| 2|146|121
635| 2|140|124
636| 2|139|120
637| 2|142|130
638| 2|139|121
639| 2|138|112
640| 2|142|128
641| 2|137|129
642| 2|130|128
643| 2|135|120
644| 2|136|128
645| 2|139|125
646| 2|139|131
647| 2|134|122
648| 2|143|123
649| 2|139|117
650| 2|140|117
651| 2|136|117
652| 2|153|122
653| 2|144|113
654| 2|148|118
655| 2|141|104
656| 2|143|114
657| 2|145|111
658| 2|142|110
659| 2|147|117
660| 2|145|109
661| 2|148|122
662| 2|138|116
663| 2|144|114
664| 2|141|115
665| 2|143|121
666| 2|136|122
667| 2|137|115
668| 2|144|119
669| 2|130|131
670| 2|138|120
671| 2|133|122
672| 2|141|131
673| 2|138|126
674| 2|133|118
675| 2|133|121
676| 2|138|122
677| 2|140|118
678| 2|139|114
679| 2|139|120
680| 2|136|119
681| 2|144|111
682| 2|130|108
683| 2|136|119
684| 2|146|122
685| 2|140|114
686| 2|136|121
687| 2|139|109
688| 2|141|99
689| 2|145|124
690| 2|139|114
691| 2|133|116
692| 2|145|122
693| 2|132|118
694| 2|143|120
695| 2|144|124
696| 2|147|133
697| 2|135|126
698| 2|135|123
699| 2|143|129
700| 2|143|126
701| 2|130|125
702| 2|136|128
703| 2|135|138
704| 2|136|122
705| 2|142|122
706| 2|140|127
707| 2|142|131
708| 2|148|129
709| 2|145|119
710| 2|133|115
711| 2|147|119
712| 2|138|112
713| 2|148|116
714| 2|142|126
715| 2|147|122
716| 2|148|111
717| 2|147|117
718| 2|146|119
719| 2|144|113
720| 2|145|122
721| 2|137|120
722| 2|149|117
723| 2|142|118
724| 2|139|125
725| 2|142|118
726| 2|137|123
727| 2|137|129
728| 2|141|121
729| 2|134|127
730| 2|140|114
731| 2|150|125
732| 2|138|125
733| 2|137|117
734| 2|132|130
735| 2|147|132
736| 2|143|130
737| 2|140|127
738| 2|140|128
739| 2|140|120
740| 2|140|116
741| 2|134|116
742| 2|150|127
743| 2|138|115
744| 2|148|127
745| 2|133|122
746| 2|145|128
747| 2|141|106
748| 2|151|119
749| 2|137|118
750| 2|149|120
751| 2|147|115
752| 2|142|123
753| 2|143|123
754| 2|137|114
755| 2|149|120
756| 2|147|127
757| 2|130|112
758| 2|136|116
759| 2|134|122
760| 2|139|117
761| 2|137|114
762| 2|136|125
763| 2|138|114
764| 2|140|116
765| 2|138|113
766| 2|135|112
767| 2|144|112
768| 2|141|112
769| 2|135|109
770| 2|133|115
771| 2|138|109
772| 2|140|114
773| 2|134|115
774| 2|134|106
775| 2|134|103
776| 2|138|128
777| 2|134|106
778| 2|134|104
779| 2|131|110
780| 2|148|111
781| 2|133|107
782| 2|140|102
783| 2|129|106
784| 2|140|121
785| 2|135|115
786| 2|132|109
787| 2|137|115
788| 2|129|107
789| 2|135|109
790| 2|133|110
791| 2|137|115
792| 2|141|118
793| 2|132|108
794| 2|133|112
795| 2|133|105
796| 2|144|102
797| 2|128|104
798| 2|126|109
799| 2|137|110
800| 2|132|107
801| 2|135|103
802| 2|133|104
803| 2|128|107
804| 2|134|105
805| 2|131|106
806| 2|133|105
807| 2|130|109
808| 2|135|103
809| 2|137|112
810| 2|129|116
811| 2|130|115
812| 2|142|117
813| 2|142|114
814| 2|138|114
815| 2|139|117
816| 2|134|123
817| 2|137|117
818| 2|142|119
819| 2|142|117
820| 2|133|114
821| 2|135|110
822| 2|130|118
823| 2|125|112
