Ix|Type|A|B
 0| 0|-2068|-3425
 1| 0|-2006|-2803
 2| 0|-2326|-1023
 3| 0|-531|-598
 4| 0|-478|-842
 5| 2|195|-571
 6| 2|-461|47
 7| 2|-215|-134
 8| 2|-204|-700
 9| 2|-152|-420
10| 2|-545|427
11| 2|-521|255
12| 2|-430|-250
13| 2|-393|-348
14| 2|-362|223
15| 2|-308|455
16| 2|-151|-174
17| 2|-11|-267
18| 2|49|478
19| 2|114|829
20| 2|206|558
21| 2|288|268
22| 2|268|516
23| 2|140|810
24| 2|163|501
25| 2|306|-4
26| 2|307|58
27| 2|220|493
28| 2|254|381
29| 2|274|42
30| 2|302|31
31| 2|312|437
32| 2|306|544
33| 2|325|51
34| 2|352|-206
35| 2|278|68
36| 2|236|247
37| 2|226|-76
38| 2|233|-268
39| 2|234|109
40| 2|216|479
41| 2|220|366
42| 2|261|46
43| 2|205|173
44| 2|166|518
45| 2|194|358
46| 2|196|32
47| 2|185|89
48| 2|159|414
49| 2|178|537
50| 2|202|290
51| 2|201|191
52| 2|147|427
53| 2|101|487
54| 2|129|178
55| 2|157|-49
56| 2|162|92
57| 2|149|228
58| 2|159|104
59| 2|163|-106
60| 2|152|-3
61| 2|126|284
62| 2|169|195
63| 2|201|-56
64| 2|186|-59
65| 2|126|124
66| 2|137|145
67| 2|153|-50
68| 2|160|-70
69| 2|150|217
70| 2|150|373
71| 2|183|231
72| 2|180|149
73| 2|141|309
74| 2|127|419
75| 2|157|275
76| 2|189|115
77| 2|150|183
78| 2|140|372
79| 2|173|318
80| 2|185|159
81| 2|151|187
82| 2|120|326
83| 2|137|294
84| 2|176|97
85| 2|189|5
86| 2|149|89
87| 2|156|154
88| 2|170|-3
89| 2|169|-64
90| 2|152|78
91| 2|136|182
92| 2|158|123
93| 2|170|17
94| 2|175|70
95| 2|124|181
96| 2|128|135
97| 2|162|30
98| 2|159|101
99| 2|153|267
100| 2|142|296
101| 2|159|219
102| 2|158|203
103| 2|151|310
104| 2|128|338
105| 2|141|206
106| 2|162|127
107| 2|137|199
108| 2|205|218
109| 2|186|108
110| 2|59|91
111| 2|117|122
112| 2|115|236
113| 2|146|158
114| 2|164|28
115| 2|153|19
116| 2|118|100
117| 2|131|83
118| 2|147|-15
119| 2|139|9
120| 2|148|127
121| 2|130|167
122| 2|138|98
123| 2|146|77
124| 2|134|163
125| 2|140|223
126| 2|136|156
127| 2|155|110
128| 2|135|192
129| 2|148|262
130| 2|133|241
131| 2|146|186
132| 2|137|223
133| 2|137|291
134| 2|142|255
135| 2|157|160
136| 2|152|129
137| 2|129|169
138| 2|140|174
139| 2|141|117
140| 2|151|73
141| 2|141|133
142| 2|138|162
143| 2|152|95
144| 2|131|50
145| 2|155|73
146| 2|141|107
147| 2|141|90
148| 2|160|52
149| 2|153|89
150| 2|137|157
151| 2|137|169
152| 2|159|131
153| 2|138|146
154| 2|150|211
155| 2|145|211
156| 2|154|158
157| 2|153|161
158| 2|153|200
159| 2|137|235
160| 2|142|200
161| 2|155|175
162| 2|161|199
163| 2|141|228
164| 2|142|178
165| 2|143|119
166| 2|152|130
167| 2|140|147
168| 2|145|132
169| 2|157|75
170| 2|154|90
171| 2|138|121
172| 2|149|130
173| 2|155|89
174| 2|161|85
175| 2|130|107
176| 2|151|130
177| 2|155|95
178| 2|155|108
179| 2|150|132
180| 2|153|174
181| 2|150|174
182| 2|158|158
183| 2|146|176
184| 2|146|205
185| 2|144|201
186| 2|148|167
187| 2|137|166
188| 2|148|192
189| 2|149|189
190| 2|161|158
191| 2|153|149
192| 2|154|162
193| 2|169|172
194| 2|140|137
195| 2|154|96
196| 2|140|111
197| 2|144|116
198| 2|148|103
199| 2|149|79
200| 2|156|93
201| 2|134|119
202| 2|149|121
203| 2|150|97
