Ix|Type|A|B
 0| 0|332|-4530
 1| 0|209|-2065
 2| 0|55|-544
 3| 0|20|-1382
 4| 2|-9|-2200
 5| 2|-14|-444
 6| 0|-134|233
 7| 2|-191|-1023
 8| 2|-65|-1828
 9| 2|-69|290
10| 2|-40|1260
11| 2|29|-90
12| 2|25|-1060
13| 2|4|-268
14| 2|18|1155
15| 2|-15|729
16| 2|19|-822
17| 2|9|39
18| 2|9|1554
19| 2|5|1329
20| 2|81|342
21| 2|61|299
22| 2|48|1395
23| 2|76|1363
24| 2|82|151
25| 2|66|-314
26| 2|76|789
27| 2|46|1200
28| 2|28|143
29| 2|24|-354
30| 2|27|311
31| 2|51|911
32| 2|55|220
33| 2|56|-795
34| 2|135|-467
35| 2|121|248
36| 2|74|-75
37| 2|102|-725
38| 2|114|-351
39| 2|123|426
40| 2|119|359
41| 2|103|-141
42| 2|148|-220
43| 2|143|513
44| 2|89|647
45| 2|69|-31
46| 2|73|-33
47| 2|81|560
48| 2|60|918
49| 2|57|638
50| 2|69|315
51| 2|83|568
52| 2|71|879
53| 2|62|532
54| 2|76|37
55| 2|147|154
56| 2|169|366
57| 2|117|214
58| 2|137|-28
59| 2|176|-81
60| 2|160|224
61| 2|124|212
62| 2|114|-196
63| 2|135|-276
64| 2|141|-98
65| 2|111|-14
66| 2|110|-156
67| 2|128|-214
68| 2|125|0
69| 2|95|278
70| 2|92|312
71| 2|111|181
72| 2|143|294
73| 2|120|404
74| 2|106|394
75| 2|142|356
76| 2|168|328
77| 2|163|444
78| 2|121|528
79| 2|150|459
80| 2|176|397
81| 2|167|424
82| 2|139|404
83| 2|152|298
84| 2|198|133
85| 2|181|6
86| 2|136|46
87| 2|138|87
88| 2|187|-18
89| 2|214|-72
90| 2|136|-22
91| 2|145|44
92| 2|182|48
93| 2|206|-79
94| 2|156|-94
95| 2|149|41
96| 2|185|89
97| 2|193|63
98| 2|180|122
99| 2|158|271
100| 2|186|403
101| 2|181|362
102| 2|191|287
103| 2|150|378
104| 2|173|469
105| 2|201|369
106| 2|185|247
107| 2|158|275
108| 2|173|393
109| 2|197|395
110| 2|196|226
111| 2|165|161
112| 2|172|243
113| 2|196|210
114| 2|202|9
115| 2|195|-81
116| 2|184|8
117| 2|219|66
118| 2|190|-18
119| 2|189|-96
120| 2|170|9
121| 2|202|161
122| 2|206|83
123| 2|200|-26
124| 2|180|54
125| 2|214|218
126| 2|205|229
127| 2|209|131
128| 2|176|177
129| 2|207|367
130| 2|227|421
131| 2|215|300
132| 2|189|276
133| 2|205|385
134| 2|221|400
135| 2|216|259
136| 2|192|151
137| 2|193|237
138| 2|213|300
139| 2|220|186
140| 2|232|59
141| 2|213|107
142| 2|240|182
143| 2|217|93
144| 2|224|-50
145| 2|201|-38
146| 2|234|73
147| 2|228|69
148| 2|237|-41
149| 2|212|-9
150| 2|242|150
151| 2|231|194
152| 2|236|109
153| 2|202|86
154| 2|240|227
155| 2|239|282
156| 2|248|58
