Ix;Type;A (signed);B (signed)
0;0;145;145
1;2;146;383
2;2;145;611
3;2;142;456
4;0;147;172
5;2;148;325
6;2;139;575
7;2;142;551
8;2;144;245
9;2;142;217
10;2;142;454
11;2;145;624
12;2;144;279
13;0;147;198
14;2;145;376
15;2;150;624
16;2;143;458
17;0;150;194
18;2;146;272
19;2;150;491
20;2;145;521
21;2;144;220
22;2;141;203
23;2;149;423
24;2;144;481
25;2;143;343
26;2;140;164
27;2;141;332
28;2;143;484
29;2;136;363
30;2;149;208
31;2;144;276
32;2;145;483
33;2;145;436
34;2;142;227
35;2;150;155
36;2;142;400
37;2;140;512
38;2;142;354
39;2;146;183
40;2;150;336
41;2;143;504
42;2;139;496
43;2;137;277
44;2;149;288
45;2;149;467
46;2;142;520
47;2;143;341
48;2;152;246
49;2;147;401
50;2;139;511
51;2;151;446
52;2;143;263
53;2;142;345
54;2;143;475
55;2;148;379
56;2;144;278
57;2;142;245
58;2;140;427
59;2;145;506
60;2;140;366
61;2;139;325
62;2;146;451
63;2;144;528
64;2;141;446
65;2;142;363
66;2;151;410
67;2;150;531
68;2;145;510
69;2;143;392
70;2;139;394
71;2;142;499
72;2;139;504
73;2;145;427
74;2;147;304
75;2;143;348
76;2;155;440
77;2;140;438
78;2;143;408
79;2;147;-483
80;2;143;-3347
81;2;145;-4341
82;0;151;-3428
83;0;148;-1119
84;0;141;-959
85;0;146;-2573
86;0;140;-2780
87;0;147;-849
88;0;136;309
89;0;144;-989
90;2;144;-2036
91;0;144;-630
92;0;139;1046
93;0;151;533
94;0;138;-1026
95;2;143;-570
96;0;144;1220
97;2;149;1371
98;0;142;-116
99;0;152;-499
100;2;136;1250
101;2;144;2198
102;0;145;1038
103;0;143;-54
104;0;138;695
105;2;154;1978
106;0;142;1358
107;0;149;24
108;0;152;256
109;2;150;1505
110;2;143;1633
111;0;146;244
112;0;145;-215
113;2;146;716
114;2;144;1158
115;0;149;-112
116;0;142;-1421
117;2;141;-192
118;0;145;1006
119;2;137;938
120;0;138;-226
121;0;144;-168
122;2;145;1016
123;2;143;1013
124;0;141;-51
125;0;147;-441
126;2;149;936
127;2;145;1829
128;0;141;975
129;0;141;108
130;0;150;698
131;2;142;1509
132;0;147;1014
133;0;146;-105
134;0;140;5
135;2;147;1066
136;2;147;1237
137;0;145;157
138;0;140;-156
139;2;140;634
140;2;148;996
141;0;142;233
142;0;152;-503
143;2;147;108
144;2;145;844
145;2;145;551
