Ix|Type|A|B
 0| 0|1872|199
 1| 0|-773|114
 2| 2|-3019|163
 3| 2|2620|38
 4| 0|-1884|97
 5| 0|1016|213
 6| 2|325|92
 7| 2|-281|123
 8| 2|1014|97
 9| 2|-200|158
10| 2|485|163
11| 2|656|62
12| 2|-255|115
13| 2|837|127
14| 2|-12|166
15| 2|364|120
16| 2|456|65
17| 2|-22|153
18| 2|518|149
19| 2|176|116
20| 2|249|88
21| 2|359|113
22| 2|81|172
23| 2|372|124
24| 2|212|92
25| 2|219|123
26| 2|303|157
27| 2|150|151
28| 2|314|96
29| 2|221|104
30| 2|191|141
31| 2|268|144
32| 2|192|110
33| 2|254|92
34| 2|221|129
35| 2|203|160
36| 2|260|124
37| 2|200|106
38| 2|237|125
39| 2|208|150
40| 2|210|134
41| 2|251|95
42| 2|205|114
43| 2|217|150
44| 2|220|135
45| 2|219|115
46| 2|234|106
47| 2|206|141
48| 2|200|145
49| 2|233|122
50| 2|215|106
51| 2|208|133
52| 2|218|150
53| 2|216|108
54| 2|221|107
55| 2|203|123
56| 2|216|143
57| 2|215|132
58| 2|240|106
59| 2|211|114
60| 2|219|140
61| 2|219|135
62| 2|220|111
63| 2|222|104
64| 2|207|137
65| 2|217|138
66| 2|217|118
67| 2|220|109
68| 2|206|135
69| 2|215|132
70| 2|213|128
71| 2|214|104
72| 2|216|130
73| 2|216|146
74| 2|213|129
75| 2|220|110
76| 2|203|118
77| 2|215|146
78| 2|201|122
79| 2|217|115
80| 2|209|113
81| 2|209|130
82| 2|202|134
83| 2|208|120
84| 2|205|112
85| 2|196|134
86| 2|203|138
87| 2|215|121
88| 2|207|117
89| 2|220|121
90| 2|201|139
91| 2|194|122
92| 2|205|102
93| 2|197|114
94| 2|211|132
95| 2|204|128
96| 2|193|113
97| 2|196|115
98| 2|202|133
99| 2|194|129
100| 2|203|120
101| 2|189|114
102| 2|204|123
103| 2|197|123
104| 2|194|121
105| 2|197|111
106| 2|208|126
107| 2|192|131
108| 2|209|124
109| 2|193|120
110| 2|199|121
111| 2|202|130
112| 2|200|134
113| 2|200|114
114| 2|203|112
115| 2|194|134
116| 2|201|130
117| 2|205|130
118| 2|180|117
119| 2|211|124
120| 2|176|130
121| 2|212|121
122| 2|181|117
123| 2|200|114
124| 2|197|133
125| 2|199|123
126| 2|197|119
127| 2|195|119
128| 2|200|125
129| 2|186|127
130| 2|211|126
131| 2|193|118
132| 2|203|129
133| 2|191|122
134| 2|188|120
135| 2|187|123
136| 2|192|122
137| 2|199|126
138| 2|196|119
139| 2|185|116
140| 2|189|123
141| 2|199|127
142| 2|185|122
143| 2|183|127
144| 2|203|119
145| 2|177|124
146| 2|196|116
147| 2|171|120
148| 2|207|121
149| 2|191|132
150| 2|194|124
151| 2|182|120
152| 2|197|130
153| 2|183|121
154| 2|192|121
155| 2|186|123
156| 2|183|115
157| 2|188|126
158| 2|178|122
159| 2|188|118
160| 2|176|121
161| 2|174|120
162| 2|183|130
163| 2|173|117
164| 2|202|125
165| 2|174|119
166| 2|188|121
167| 2|183|121
168| 2|186|121
169| 2|181|125
170| 2|172|120
171| 2|183|128
172| 2|163|125
173| 2|177|119
174| 2|177|120
175| 2|172|135
176| 2|184|126
177| 2|176|125
178| 2|180|119
179| 2|184|130
180| 2|175|128
181| 2|187|120
182| 2|158|118
183| 2|190|123
184| 2|168|117
185| 2|180|123
186| 2|172|119
187| 2|168|122
188| 2|173|121
189| 2|179|118
190| 2|169|122
191| 2|178|112
192| 2|168|129
193| 2|177|133
194| 2|175|121
195| 2|171|120
196| 2|179|124
197| 2|174|124
198| 2|163|119
199| 2|175|122
200| 2|171|127
201| 2|173|119
202| 2|180|118
203| 2|170|114
204| 2|168|124
205| 2|175|125
206| 2|169|121
207| 2|166|121
208| 2|173|127
209| 2|170|120
210| 2|165|114
211| 2|165|120
212| 2|165|118
213| 2|175|119
214| 2|169|127
215| 2|165|119
216| 2|171|123
217| 2|170|130
218| 2|161|119
219| 2|188|129
220| 2|153|122
221| 2|183|122
222| 2|161|123
223| 2|181|120
224| 2|176|117
225| 2|170|118
226| 2|169|118
227| 2|186|124
228| 2|158|120
229| 2|185|124
230| 2|153|122
231| 2|181|117
232| 2|164|124
233| 2|161|118
234| 2|168|123
235| 2|162|121
236| 2|174|115
237| 2|166|119
238| 2|174|116
239| 2|160|123
240| 2|160|123
241| 2|174|115
242| 2|157|124
243| 2|180|126
244| 2|157|125
245| 2|160|130
246| 2|168|125
247| 2|165|126
248| 2|175|119
249| 2|159|123
250| 2|162|116
251| 2|159|120
252| 2|169|122
253| 2|163|127
254| 2|163|118
255| 2|175|121
256| 2|159|126
257| 2|160|122
258| 2|168|126
259| 2|160|117
260| 2|168|126
261| 2|160|124
262| 2|169|128
263| 2|158|118
