Ix|Type|A|B
 0| 0|295|-7084
 1| 0|333|-3414
 2| 0|141|-752
 3| 0|19|-276
 4| 2|-40|-1419
 5| 2|-77|-877
 6| 0|-128|797
 7| 2|-147|453
 8| 2|-32|-1328
 9| 2|-52|-720
10| 0|-7|1458
11| 2|34|1078
12| 0|27|-645
13| 2|44|-894
14| 2|17|378
15| 2|-2|1206
16| 2|2|-303
17| 2|13|-925
18| 2|50|746
19| 2|-10|1557
20| 2|33|680
21| 0|63|-13
22| 2|39|719
23| 2|53|1553
24| 2|82|741
25| 0|50|-415
26| 2|58|58
27| 2|51|1235
28| 2|32|832
29| 0|27|-217
30| 2|24|-39
31| 2|37|888
32| 2|58|929
33| 2|59|-209
34| 2|100|-651
35| 2|126|101
36| 2|107|333
37| 2|91|-412
38| 2|119|-635
39| 2|103|179
40| 2|126|600
41| 2|109|134
42| 2|132|-306
43| 2|148|100
44| 2|120|685
45| 2|72|223
46| 2|72|-312
47| 2|79|98
48| 2|81|691
49| 2|55|712
50| 2|56|341
51| 2|99|333
52| 2|117|742
53| 2|87|723
54| 2|73|164
55| 2|116|34
56| 2|138|348
57| 2|141|359
58| 2|118|109
59| 2|168|-29
60| 2|151|182
61| 2|151|427
62| 2|109|105
63| 2|135|-197
64| 2|196|-82
65| 2|146|67
66| 2|102|-60
67| 2|133|-197
68| 2|150|-109
69| 2|119|154
70| 2|93|288
71| 2|103|186
72| 2|166|194
73| 2|168|339
74| 2|128|302
75| 2|144|247
76| 2|157|236
77| 2|144|315
78| 2|141|402
79| 2|126|408
80| 2|166|376
81| 2|147|402
82| 2|157|416
83| 2|136|348
84| 2|173|247
85| 2|167|134
86| 2|167|62
87| 2|131|97
88| 2|151|101
89| 2|197|42
90| 2|170|47
91| 2|133|68
92| 2|165|117
93| 2|187|74
94| 2|183|-39
95| 2|153|-21
96| 2|163|54
97| 2|186|78
98| 2|178|65
99| 2|174|142
100| 2|184|287
101| 2|189|362
102| 2|173|286
103| 2|168|224
104| 2|158|351
105| 2|195|388
106| 2|186|265
107| 2|181|184
108| 2|150|265
109| 2|197|372
110| 2|182|324
111| 2|192|192
112| 2|158|204
113| 2|189|282
114| 2|189|174
115| 2|195|-9
116| 2|175|-29
117| 2|193|84
118| 2|176|83
119| 2|202|-35
120| 2|186|-39
121| 2|193|120
122| 2|205|190
123| 2|208|44
124| 2|201|-10
125| 2|198|108
126| 2|224|221
127| 2|203|144
128| 2|202|77
