Ix|Type|A|B
 0| 0|154|-6076
 1| 0|149|-4196
 2| 0|153|-2522
 3| 0|151|-2009
 4| 0|145|-2198
 5| 0|141|-1855
 6| 0|140|-1077
 7| 2|143|-1160
 8| 2|147|-1646
 9| 2|141|-1108
10| 2|144|144
11| 2|151|365
12| 2|140|-304
13| 2|146|-456
14| 2|145|266
15| 2|148|743
16| 2|148|174
17| 2|141|-165
18| 2|139|543
19| 2|152|1200
20| 2|147|943
21| 2|144|459
22| 2|147|689
23| 2|150|1154
24| 2|141|847
25| 2|149|117
26| 2|142|99
27| 2|147|645
28| 2|149|615
29| 2|151|2
30| 2|145|-175
31| 2|140|317
32| 2|144|513
33| 2|150|-103
34| 2|147|-587
35| 2|145|-271
36| 2|145|95
37| 2|151|-186
38| 2|148|-527
39| 2|147|-184
40| 2|144|354
41| 2|145|325
42| 2|146|-56
43| 2|146|33
44| 2|144|530
45| 2|140|534
46| 2|147|112
47| 2|145|84
48| 2|143|564
49| 2|145|818
50| 2|156|502
51| 2|147|255
52| 2|139|502
53| 2|139|707
54| 2|145|356
55| 2|150|-62
56| 2|147|13
57| 2|144|274
58| 2|148|141
59| 2|144|-203
60| 2|144|-178
61| 2|138|162
62| 2|143|140
63| 2|145|-230
64| 2|147|-317
65| 2|144|-34
66| 2|149|100
67| 2|144|-120
68| 2|145|-239
69| 2|139|100
70| 2|145|431
71| 2|145|324
72| 2|143|141
73| 2|147|292
74| 2|145|537
75| 2|149|458
76| 2|139|214
77| 2|138|252
78| 2|145|501
79| 2|149|524
80| 2|140|261
81| 2|142|206
82| 2|141|384
83| 2|139|412
84| 2|150|115
85| 2|146|-106
86| 2|141|16
87| 2|145|136
88| 2|149|-24
89| 2|142|-201
90| 2|142|-68
91| 2|147|118
92| 2|140|82
93| 2|149|-108
94| 2|148|-53
95| 2|148|135
96| 2|148|168
97| 2|146|32
98| 2|152|64
99| 2|146|304
100| 2|144|417
101| 2|146|315
102| 2|142|251
103| 2|144|378
104| 2|141|487
105| 2|139|349
106| 2|145|198
107| 2|148|245
108| 2|142|363
109| 2|147|286
110| 2|145|133
111| 2|147|115
112| 2|144|217
113| 2|145|173
114| 2|146|-20
115| 2|146|-88
116| 2|144|8
117| 2|153|28
118| 2|148|-80
119| 2|146|-117
120| 2|146|16
121| 2|148|138
122| 2|145|100
123| 2|147|23
124| 2|142|113
125| 2|150|238
126| 2|148|224
127| 2|143|151
128| 2|142|205
129| 2|136|342
130| 2|144|367
131| 2|144|304
132| 2|143|286
133| 2|148|353
134| 2|148|371
135| 2|140|256
136| 2|145|173
137| 2|148|214
138| 2|141|229
139| 2|146|150
140| 2|140|67
141| 2|149|87
142| 2|147|139
143| 2|148|80
144| 2|150|-15
145| 2|142|-11
146| 2|148|46
147| 2|146|59
148| 2|151|-12
149| 2|143|17
150| 2|142|109
151| 2|151|167
152| 2|141|146
153| 2|137|132
154| 2|137|207
155| 2|139|267
156| 2|149|239
157| 2|140|211
158| 2|142|243
159| 2|140|309
160| 2|154|293
161| 2|144|238
162| 2|144|243
163| 2|147|275
164| 2|153|240
165| 2|140|155
166| 2|150|119
167| 2|144|131
168| 2|143|135
169| 2|148|69
170| 2|144|32
171| 2|141|64
172| 2|142|102
173| 2|149|60
174| 2|149|17
175| 2|143|43
176| 2|147|104
177| 2|143|89
178| 2|143|70
179| 2|145|119
180| 2|141|185
181| 2|145|208
182| 2|152|194
183| 2|146|212
184| 2|147|246
185| 2|139|270
186| 2|146|235
187| 2|143|220
188| 2|139|239
189| 2|143|259
190| 2|145|213
191| 2|144|183
192| 2|148|188
193| 2|153|198
194| 2|145|150
195| 2|147|93
196| 2|146|91
197| 2|147|94
198| 2|145|79
199| 2|146|44
200| 2|139|33
201| 2|141|67
202| 2|149|91
203| 2|148|59
204| 2|141|63
205| 2|147|96
206| 2|140|132
207| 2|143|121
208| 2|147|125
209| 2|148|162
210| 2|145|211
211| 2|141|213
212| 2|146|194
213| 2|144|209
214| 2|141|238
215| 2|143|240
216| 2|149|206
217| 2|141|199
218| 2|148|197
219| 2|141|197
220| 2|148|155
221| 2|148|142
222| 2|146|142
223| 2|141|133
224| 2|139|107
225| 2|146|85
226| 2|147|75
227| 2|143|93
228| 2|139|81
229| 2|144|71
230| 2|147|82
231| 2|143|110
232| 2|145|123
233| 2|144|108
234| 2|151|125
235| 2|151|151
236| 2|140|163
237| 2|147|167
238| 2|147|168
239| 2|141|188
240| 2|146|208
241| 2|138|207
242| 2|136|200
243| 2|143|202
244| 2|141|211
245| 2|145|194
246| 2|141|170
247| 2|148|165
248| 2|138|165
249| 2|142|154
250| 2|145|126
251| 2|145|116
252| 2|137|122
253| 2|144|119
254| 2|148|95
255| 2|144|80
256| 2|146|90
257| 2|141|108
258| 2|143|96
259| 2|139|100
260| 2|151|110
261| 2|142|135
262| 2|142|142
263| 2|141|139
264| 2|145|153
265| 2|138|175
266| 2|143|182
267| 2|144|162
268| 2|146|171
269| 2|145|179
270| 2|139|190
271| 2|140|171
272| 2|143|173
273| 2|141|170
274| 2|149|169
275| 2|142|150
276| 2|142|129
277| 2|144|127
278| 2|143|127
279| 2|144|121
280| 2|143|93
281| 2|146|94
282| 2|149|108
283| 2|138|95
284| 2|143|93
285| 2|141|96
286| 2|145|104
287| 2|135|118
288| 2|144|110
289| 2|144|114
290| 2|142|140
291| 2|138|145
292| 2|143|141
293| 2|148|150
294| 2|147|158
295| 2|142|167
296| 2|147|166
297| 2|145|155
298| 2|143|159
299| 2|148|162
300| 2|142|151
301| 2|144|149
302| 2|146|147
303| 2|142|141
304| 2|143|138
305| 2|145|126
306| 2|144|111
307| 2|146|114
308| 2|145|104
309| 2|142|109
310| 2|140|95
311| 2|148|112
312| 2|146|116
313| 2|146|115
314| 2|144|100
315| 2|143|125
316| 2|141|134
317| 2|144|135
318| 2|143|124
319| 2|143|137
320| 2|143|157
321| 2|148|161
322| 2|143|155
323| 2|139|150
324| 2|142|167
325| 2|144|171
326| 2|144|155
327| 2|146|152
328| 2|144|153
329| 2|139|149
330| 2|142|146
331| 2|149|131
332| 2|145|134
333| 2|138|131
334| 2|145|124
335| 2|142|107
336| 2|138|119
337| 2|146|111
338| 2|145|102
339| 2|144|103
340| 2|143|110
341| 2|150|114
342| 2|146|128
343| 2|143|121
344| 2|134|120
345| 2|143|138
346| 2|141|136
347| 2|144|143
348| 2|147|143
349| 2|140|156
350| 2|145|150
351| 2|148|156
352| 2|141|145
353| 2|149|151
354| 2|141|152
355| 2|143|146
356| 2|146|143
357| 2|144|143
358| 2|152|133
359| 2|146|129
