Ix|Type|A|B
 0| 0|-1098|-674
 1| 0|-825|-490
 2| 2|-248|-128
 3| 2|-7|42
 4| 2|81|82
 5| 2|144|117
 6| 2|189|161
 7| 2|222|185
 8| 2|233|180
 9| 2|235|187
10| 2|217|172
11| 2|208|173
12| 2|183|153
13| 2|190|151
14| 2|176|153
15| 2|200|158
16| 2|209|172
17| 2|202|158
18| 2|191|160
19| 2|190|163
20| 2|177|137
21| 2|167|143
22| 2|178|151
23| 2|188|161
24| 2|177|145
25| 2|161|141
26| 2|154|134
27| 2|165|146
28| 2|187|148
29| 2|179|145
30| 2|171|154
31| 2|169|138
32| 2|158|134
33| 2|158|130
34| 2|166|141
35| 2|158|132
36| 2|168|135
37| 2|172|144
38| 2|166|131
39| 2|158|138
40| 2|172|138
41| 2|168|149
42| 2|172|137
43| 2|173|139
44| 2|168|130
45| 2|169|144
46| 2|157|142
47| 2|160|132
48| 2|156|124
49| 2|160|128
50| 2|168|135
51| 2|163|141
52| 2|161|129
53| 2|166|135
54| 2|161|137
55| 2|162|136
56| 2|160|133
57| 2|158|142
58| 2|157|133
59| 2|161|135
60| 2|159|127
61| 2|167|135
62| 2|155|136
63| 2|161|126
64| 2|162|138
65| 2|168|134
66| 2|163|135
67| 2|158|135
68| 2|160|135
69| 2|160|134
70| 2|158|131
71| 2|156|132
72| 2|156|129
73| 2|152|131
74| 2|153|130
75| 2|162|128
76| 2|155|133
77| 2|163|138
78| 2|168|135
79| 2|157|135
80| 2|159|133
81| 2|166|133
82| 2|160|132
83| 2|151|137
84| 2|161|130
85| 2|151|124
86| 2|158|124
87| 2|153|132
88| 2|158|132
89| 2|160|133
90| 2|162|136
91| 2|159|135
92| 2|160|124
93| 2|160|127
94| 2|150|126
95| 2|159|131
96| 2|158|127
97| 2|154|134
98| 2|151|124
99| 2|158|130
100| 2|151|134
101| 2|160|137
102| 2|156|133
103| 2|158|128
104| 2|153|132
105| 2|160|133
106| 2|156|130
107| 2|154|133
108| 2|157|128
109| 2|148|130
110| 2|150|126
111| 2|158|126
112| 2|155|130
113| 2|152|126
114| 2|162|130
115| 2|152|130
116| 2|162|131
117| 2|149|135
118| 2|152|131
119| 2|152|131
120| 2|153|136
121| 2|150|130
122| 2|154|122
123| 2|157|133
124| 2|146|135
125| 2|157|124
126| 2|151|131
127| 2|156|129
128| 2|152|129
129| 2|147|127
130| 2|152|125
131| 2|155|133
132| 2|159|134
133| 2|158|125
134| 2|151|126
135| 2|155|131
136| 2|155|130
137| 2|157|124
138| 2|153|126
139| 2|156|136
140| 2|159|130
141| 2|155|131
142| 2|154|126
143| 2|154|127
144| 2|153|132
145| 2|148|128
146| 2|157|127
147| 2|146|128
148| 2|157|123
149| 2|154|129
150| 2|160|130
151| 2|153|125
152| 2|153|130
153| 2|148|124
154| 2|151|129
155| 2|148|123
156| 2|152|122
157| 2|159|128
158| 2|150|122
159| 2|153|120
160| 2|157|129
161| 2|158|120
162| 2|156|134
163| 2|152|123
164| 2|153|125
165| 2|149|130
166| 2|154|128
167| 2|156|126
168| 2|157|121
169| 2|141|133
170| 2|152|130
171| 2|154|130
172| 2|143|121
173| 2|183|151
174| 2|141|120
175| 2|170|129
176| 2|148|126
177| 2|150|132
178| 2|146|122
179| 2|150|126
180| 2|142|125
181| 2|146|122
182| 2|152|125
183| 2|153|123
184| 2|157|127
185| 2|149|123
186| 2|150|128
187| 2|149|126
188| 2|148|127
189| 2|144|122
190| 2|153|124
191| 2|157|125
192| 2|159|122
193| 2|148|128
194| 2|147|128
195| 2|151|120
196| 2|150|133
197| 2|144|124
198| 2|143|125
199| 2|155|123
200| 2|154|131
201| 2|147|131
202| 2|155|119
203| 2|147|130
204| 2|155|135
205| 2|154|130
206| 2|150|123
207| 2|145|128
208| 2|144|119
209| 2|144|128
210| 2|148|121
211| 2|155|125
212| 2|154|128
213| 2|148|127
214| 2|149|124
215| 2|148|131
216| 2|152|126
217| 2|143|129
218| 2|156|124
219| 2|150|122
220| 2|150|125
221| 2|155|120
222| 2|156|130
223| 2|149|121
224| 2|147|126
225| 2|146|121
226| 2|153|132
227| 2|153|127
228| 2|151|124
229| 2|155|126
230| 2|147|121
231| 2|149|125
232| 2|148|132
233| 2|152|121
234| 2|147|120
235| 2|148|128
236| 2|154|120
237| 2|155|124
238| 2|149|121
239| 2|147|122
240| 2|140|124
241| 2|142|129
242| 2|123|102
243| 2|172|138
244| 2|138|118
245| 2|163|129
246| 2|141|126
247| 2|159|136
248| 2|146|130
249| 2|140|124
250| 2|137|103
251| 2|164|137
252| 2|140|114
253| 2|160|118
254| 2|147|127
255| 2|132|120
256| 2|138|121
257| 2|154|131
258| 2|146|121
259| 2|122|104
260| 2|147|132
261| 2|143|119
262| 2|153|126
263| 2|165|133
264| 2|168|131
265| 2|145|118
266| 2|160|134
267| 2|145|118
268| 2|149|122
269| 2|143|128
270| 2|145|120
271| 2|143|122
272| 2|131|117
273| 2|144|123
274| 2|138|125
275| 2|150|122
276| 2|142|128
277| 2|156|121
278| 2|146|130
279| 2|144|125
280| 2|148|122
281| 2|147|125
282| 2|154|135
283| 2|143|120
284| 2|149|120
285| 2|139|121
286| 2|147|133
287| 2|146|125
288| 2|150|123
289| 2|149|126
290| 2|146|119
291| 2|139|134
292| 2|144|124
293| 2|148|123
294| 2|147|120
295| 2|150|124
296| 2|147|130
297| 2|139|119
298| 2|150|121
299| 2|140|120
300| 2|142|125
301| 2|138|126
302| 2|145|122
303| 2|144|133
304| 2|144|129
305| 2|143|119
306| 2|147|117
307| 2|148|128
308| 2|139|115
309| 2|153|124
310| 2|146|123
311| 2|147|125
312| 2|153|124
313| 2|148|127
314| 2|141|124
315| 2|145|128
316| 2|154|124
317| 2|147|129
318| 2|141|121
319| 2|150|120
320| 2|143|126
321| 2|140|118
322| 2|148|130
323| 2|139|123
324| 2|142|121
325| 2|150|120
326| 2|144|128
327| 2|149|128
328| 2|143|117
329| 2|139|119
330| 2|143|123
331| 2|148|124
332| 2|144|122
333| 2|147|113
334| 2|147|123
335| 2|131|117
336| 2|137|122
337| 2|159|139
338| 2|140|128
339| 2|143|130
340| 2|145|120
341| 2|159|130
342| 2|151|127
343| 2|146|114
344| 2|121|109
345| 2|146|117
346| 2|136|116
347| 2|147|120
348| 2|154|128
349| 2|146|129
350| 2|137|116
351| 2|130|116
352| 2|145|117
353| 2|133|120
354| 2|139|122
355| 2|154|127
356| 2|141|121
357| 2|142|130
358| 2|148|121
359| 2|144|117
360| 2|137|126
361| 2|145|116
362| 2|152|126
363| 2|137|118
364| 2|145|128
365| 2|134|115
366| 2|144|124
367| 2|139|125
368| 2|142|121
369| 2|155|118
370| 2|137|113
371| 2|142|125
372| 2|141|128
373| 2|152|120
374| 2|137|121
375| 2|144|121
376| 2|145|124
377| 2|144|123
378| 2|148|117
379| 2|144|122
380| 2|147|121
381| 2|141|129
382| 2|143|130
383| 2|137|125
384| 2|143|121
385| 2|141|113
386| 2|138|119
387| 2|150|126
388| 2|144|112
389| 2|150|128
390| 2|143|127
391| 2|141|126
392| 2|145|125
393| 2|145|120
394| 2|145|118
395| 2|144|121
396| 2|150|126
397| 2|143|125
398| 2|143|117
